trip_id,vendor_id,rate_code_id,pickup_location_id,dropoff_location_id,pickup_datetime,dropoff_datetime,passenger_count,trip_type,payment_type,taxi_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,ehail_fee,payment_name
4deae4694f9cc4b89b751eaada85894d,2,1,66,255,2019-01-01T21:03:40Z,2019-01-01T21:17:39Z,1,1,2,Green,14.5,0.5,0.5,0.0,0.0,0.3,15.8,,Cash
f49fe1d96dc8b0e211de87272daf901c,2,1,80,148,2019-01-01T23:46:43Z,2019-01-01T23:57:21Z,1,1,2,Green,14.5,0.5,0.5,0.0,0.0,0.3,15.8,,Cash
b6a9532db0cd6e19375d26a1548e9f9b,2,1,65,189,2019-01-01T01:02:50Z,2019-01-01T01:16:30Z,2,1,2,Green,14.5,0.5,0.5,0.0,0.0,0.3,15.8,,Cash
abad60b93c7da527a88abc999277e515,2,1,260,198,2019-01-01T21:04:25Z,2019-01-01T21:23:20Z,1,1,2,Green,14.5,0.5,0.5,0.0,0.0,0.3,15.8,,Cash
af8634c4738f52d1c12d010d33b33d4d,2,1,225,55,2019-01-01T01:56:31Z,2019-01-01T02:41:48Z,1,1,1,Green,50.0,0.5,0.5,0.0,0.0,0.3,51.3,,Credit Card
041a856c24be5586e0021e5d0520fd40,2,1,260,179,2019-01-01T06:33:54Z,2019-01-01T06:45:11Z,1,1,1,Green,12.0,0.0,0.5,2.56,0.0,0.3,15.36,,Credit Card
82931e78e66ff1dbefe2aae68e6edbce,2,1,126,167,2019-01-01T17:34:09Z,2019-01-01T17:52:04Z,1,1,1,Green,12.0,1.0,0.5,0.0,0.0,0.3,13.8,,Credit Card
7dea47f5feab178bdee36aa1f539af0e,1,1,173,260,2019-01-01T17:27:01Z,2019-01-01T17:41:24Z,2,1,2,Green,12.0,0.0,0.5,0.0,0.0,0.3,12.8,,Cash
d673e1e3f1958efe0c9980a88bc10f64,1,1,210,21,2019-01-01T19:33:15Z,2019-01-01T19:44:47Z,1,1,2,Green,12.0,0.0,0.5,0.0,0.0,0.3,12.8,,Cash
7c2fa194fcd68e2f2b77fe843caf314f,2,1,42,75,2019-01-01T16:47:46Z,2019-01-01T17:01:34Z,1,1,2,Green,12.0,0.0,0.5,0.0,0.0,0.3,12.8,,Cash
5cbd41c9046807b8e9ff99bbe0178e2c,2,1,82,179,2019-01-01T23:42:52Z,2019-01-01T23:52:49Z,2,1,2,Green,12.0,0.5,0.5,0.0,0.0,0.3,13.3,,Cash
4102702b4df49e861f56d0152f9fe84b,2,1,255,80,2019-01-01T03:28:05Z,2019-01-01T03:44:12Z,5,1,1,Green,12.0,0.5,0.5,3.99,0.0,0.3,17.29,,Credit Card
8180e0053dee7f67e09c1949a270214c,2,1,116,231,2019-01-01T14:51:24Z,2019-01-01T15:16:07Z,1,1,2,Green,28.5,0.0,0.5,0.0,0.0,0.3,29.3,,Cash
5fbbb5d0206841433eff4d79192b3c4b,2,1,181,33,2019-01-01T10:40:40Z,2019-01-01T10:50:54Z,2,1,1,Green,9.5,0.0,0.5,2.58,0.0,0.3,12.88,,Credit Card
1f1e2b85f01bc613f7aeabf8c804dc1c,2,1,33,87,2019-01-01T16:43:19Z,2019-01-01T16:51:25Z,1,1,1,Green,9.5,0.0,0.5,2.58,0.0,0.3,12.88,,Credit Card
16da21e27ea2625961c14f09e078e3ec,2,1,82,260,2019-01-01T18:06:02Z,2019-01-01T18:18:36Z,1,1,2,Green,9.5,0.0,0.5,0.0,0.0,0.3,10.3,,Cash
7a0fd405b8c360e8b657f5d66745dd46,2,1,66,261,2019-01-01T15:58:34Z,2019-01-01T16:07:20Z,1,1,2,Green,9.5,0.0,0.5,0.0,0.0,0.3,10.3,,Cash
8bd6d166c59327588f7c73c51a66860c,2,1,146,7,2019-01-01T01:58:38Z,2019-01-01T02:08:35Z,1,1,1,Green,9.5,0.5,0.5,2.16,0.0,0.3,12.96,,Credit Card
bb7427d54676ca23b9c86583b26dbd85,2,1,83,7,2019-01-01T04:54:31Z,2019-01-01T05:06:48Z,1,1,2,Green,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,Cash
39413678b848f467ded312400755e6ca,2,1,129,173,2019-01-01T20:10:49Z,2019-01-01T20:20:46Z,1,1,2,Green,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,Cash
10ddbdbce59e06aaa2f892625c8df960,1,1,82,56,2019-01-01T21:22:27Z,2019-01-01T21:33:35Z,1,1,2,Green,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,Cash
5043365aa27348c2baa48d5637278f71,2,5,181,181,2019-01-01T00:31:03Z,2019-01-01T00:31:06Z,1,2,1,Green,45.0,0.0,0.0,0.0,0.0,0.0,45.0,,Credit Card
7fe4a384f6330771b32fc661cf6ac457,1,1,196,237,2019-01-01T11:19:36Z,2019-01-01T11:41:08Z,1,1,2,Green,26.0,0.0,0.5,0.0,0.0,0.3,26.8,,Cash
af8053408c8c14ff158a80a375dc8354,2,1,80,48,2019-01-01T02:43:07Z,2019-01-01T03:15:36Z,1,1,1,Green,26.0,0.5,0.5,5.46,0.0,0.3,32.76,,Credit Card
2fb6f9351decfb493673b4a4f61acaf4,2,1,41,213,2019-01-01T02:28:54Z,2019-01-01T02:50:53Z,1,1,2,Green,26.0,0.5,0.5,0.0,0.0,0.3,27.3,,Cash
ec7466389dc411cf4fde665970d254d0,2,1,7,226,2019-01-01T19:55:13Z,2019-01-01T20:02:04Z,4,1,1,Green,7.0,0.0,0.5,2.34,0.0,0.3,10.14,,Credit Card
bada2019be7fb69f1b9f8007f2ae1b6f,2,1,41,151,2019-01-01T04:37:57Z,2019-01-01T04:44:37Z,1,1,1,Green,7.0,0.5,0.5,1.66,0.0,0.3,9.96,,Credit Card
674adada7a8eabced828380adde240c6,2,1,74,247,2019-01-01T15:00:30Z,2019-01-01T15:07:07Z,6,1,2,Green,7.0,0.0,0.5,0.0,0.0,0.3,7.8,,Cash
11b1bf945b9acd58b081458a4f0dceba,2,1,75,237,2019-01-01T15:24:20Z,2019-01-01T15:30:17Z,1,1,2,Green,7.0,0.0,0.5,0.0,0.0,0.3,7.8,,Cash
47f7ee58be5d90c4e831b5ae08ee7f8f,2,1,97,97,2019-01-01T12:59:09Z,2019-01-01T13:08:20Z,1,1,2,Green,7.0,0.0,0.5,0.0,0.0,0.3,7.8,,Cash
